,anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,latitud,longitud,fecha_hora_hecho,dia_semana_hecho,dia_semana,conteo_delitos
50479,2019,MAYO,2019-05-13,00:00:00,2019.0,5,2019-05-13,15,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN IZTAPALAPA,IZP-6,AMPLIACION EMILIANO ZAPATA,AMPLIACION EMILIANO ZAPATA,IZTAPALAPA,IZTAPALAPA,19.33939,-98.97623,2019-05-13 15:00:00,0,Monday,1999
44483,2018,DICIEMBRE,2018-12-26,00:00:00,2018.0,12,2018-12-25,2,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN CUAUHTEMOC,CUH-7,HIPODROMO,HIPODROMO,CUAUHTEMOC,CUAUHTEMOC,19.41628,-99.16935,2018-12-25 02:00:00,1,Tuesday,2175
57054,2019,DICIEMBRE,2019-12-05,00:00:00,2019.0,12,2019-12-04,20,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN GUSTAVO A. MADERO,GAM-8,SAN JUAN DE ARAGON IV SECCION,SAN JUAN DE ARAGON III SECCION,GUSTAVO A. MADERO,GUSTAVO A. MADERO,19.45258,-99.06775,2019-12-04 20:45:00,2,Wednesday,1069
38568,2018,SEPTIEMBRE,2018-09-14,00:00:00,2018.0,9,2018-09-14,4,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN AGENCIAS DE ATENCION ESPECIALIZADAS,TUR-2,POLANCO,POLANCO IV SECCION,MIGUEL HIDALGO,MIGUEL HIDALGO,19.42917,-99.1968,2018-09-14 04:00:00,4,Friday,889
12334,2017,MARZO,2017-03-06,00:00:00,2017.0,3,2017-03-03,19,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACION EN CUAUHTEMOC,CUH-2,TABACALERA,TABACALERA,CUAUHTEMOC,CUAUHTEMOC,19.43724,-99.15067,2017-03-03 19:30:00,4,Friday,1880
23810,2017,NOVIEMBRE,2017-11-26,00:00:00,2017.0,11,2017-11-24,12,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACION EN CUAUHTEMOC,CUH-6,CENTRO,CENTRO,CUAUHTEMOC,CUAUHTEMOC,19.43339,-99.12992,2017-11-24 12:20:00,4,Friday,2260
83615,2023,FEBRERO,2023-02-02,21:48:51,2023.0,1,2023-01-25,14,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-4,SAN JUAN DE ARAGON,PUEBLO SAN JUAN DE ARAGON,GUSTAVO A. MADERO,GUSTAVO A. MADERO,19.4734948356895,-99.0810906896289,2023-01-25 14:20:00,2,Wednesday,1120
36594,2018,AGOSTO,2018-08-09,00:00:00,2018.0,8,2018-08-07,20,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN IZTAPALAPA,IZP-4,EL SIFON,EL SIFON,IZTAPALAPA,IZTAPALAPA,19.37101,-99.12229,2018-08-07 20:30:00,1,Tuesday,2067
86819,2023,JULIO,2023-07-08,11:56:20,2023.0,7,2023-07-07,12,ROBO A TRANSEUNTE CONDUCTOR DE TAXI PUBLICO Y PRIVADO CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALIA DE INVESTIGACION TERRITORIAL EN IZTAPALAPA,IZP-4,CHINAMPAC DE JUAREZ,CHINAMPAC DE JUAREZ,IZTAPALAPA,IZTAPALAPA,19.3856049141428,-99.0448185102398,2023-07-07 12:10:00,4,Friday,2043
51096,2019,MAYO,2019-05-30,00:00:00,2019.0,5,2019-05-29,11,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN IZTACALCO,IZC-2,LEYES DE REFORMA 3A SECCION,LEYES DE REFORMA 3A SECCION,IZTAPALAPA,IZTAPALAPA,19.37473,-99.07807,2019-05-29 11:00:00,2,Wednesday,1999
16898,2017,JULIO,2017-07-04,00:00:00,2017.0,7,2017-07-04,13,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,"INVESTIGACION PARA LA ATENCION DE NINOS, NINAS Y ADOLESCENTES",57,CENTRO,CENTRO,CUAUHTEMOC,CUAUHTEMOC,19.42984,-99.12518,2017-07-04 13:05:00,1,Tuesday,1861
79793,2022,AGOSTO,2022-08-12,18:14:57,2022.0,8,2022-08-09,1,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALIA DE INVESTIGACION TERRITORIAL EN IZTAPALAPA,IZP-4,SANTA BARBARA,BARRIO SANTA BARBARA,IZTAPALAPA,IZTAPALAPA,19.3602976737417,-99.1002261303806,2022-08-09 01:30:00,1,Tuesday,2067
62335,2020,AGOSTO,2020-08-03,00:00:00,2020.0,8,2020-08-03,18,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN ALVARO OBREGON,AO-3,JOSE MARIA PINO SUAREZ,JOSE MARIA PINO SUAREZ,ALVARO OBREGON,ALVARO OBREGON,19.39791,-99.19864,2020-08-03 18:02:00,0,Monday,787
865,2016,FEBRERO,2016-02-15,00:00:00,2016.0,2,2016-02-13,12,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN CUAUHTEMOC,CUH-8,LA ESPERANZA,LA ESPERANZA,IZTAPALAPA,IZTAPALAPA,19.31154,-99.08011,2016-02-13 12:00:00,5,Saturday,1954
49782,2019,ABRIL,2019-04-25,00:00:00,2019.0,4,2019-04-25,6,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN IZTAPALAPA,IZP-9,SANTIAGO ACAHUALTEPEC,PUEBLO SANTIAGO ACAHUALTEPEC,IZTAPALAPA,IZTAPALAPA,19.35281,-99.00352,2019-04-25 06:20:00,3,Thursday,1912
25330,2017,DICIEMBRE,2017-12-22,00:00:00,2017.0,12,2017-12-15,22,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACION EN GUSTAVO A. MADERO,GAM-4,VASCO DE QUIROGA,VASCO DE QUIROGA,GUSTAVO A. MADERO,GUSTAVO A. MADERO,19.49187,-99.09571,2017-12-15 22:30:00,4,Friday,1069
