,anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,latitud,longitud,fecha_hora_hecho,dia_semana_hecho,dia_semana,conteo_delitos
18544,2017,AGOSTO,2017-08-11,00:00:00,2017.0,8,2017-08-10,23,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACION EN BENITO JUAREZ,BJ-1,TLACOQUEMECATL,DEL VALLE SUR,BENITO JUAREZ,BENITO JUAREZ,19.37724,-99.17144,2017-08-10 23:15:00,3,Thursday,878
81846,2022,NOVIEMBRE,2022-11-11,15:27:50,2022.0,11,2022-11-10,21,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALIA DE INVESTIGACION TERRITORIAL EN CUAUHTEMOC,UAT-CUH-2,TABACALERA,TABACALERA,CUAUHTEMOC,CUAUHTEMOC,19.438420580101,-99.1553544397807,2022-11-10 21:30:00,3,Thursday,2260
51400,2019,JUNIO,2019-06-08,00:00:00,2019.0,6,2019-06-08,3,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN AGENCIAS DE ATENCION ESPECIALIZADAS,LGBTTTI,NARVARTE,NARVARTE ORIENTE,BENITO JUAREZ,BENITO JUAREZ,19.39117,-99.15196,2019-06-08 03:25:00,5,Saturday,826
79023,2022,JULIO,2022-07-11,13:22:00,2022.0,7,2022-07-11,12,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,ESTRELLA,ESTRELLA,GUSTAVO A. MADERO,GUSTAVO A. MADERO,19.4771241422318,-99.1191485501404,2022-07-11 12:40:00,0,Monday,1044
31545,2018,MAYO,2018-05-03,00:00:00,2018.0,5,2018-05-01,17,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACION EN ALVARO OBREGON,AO-1,ZEDEC SANTA FE,SANTA FE PENA BLANCA,ALVARO OBREGON,ALVARO OBREGON,19.37655,-99.25412,2018-05-01 17:00:00,1,Tuesday,802
83110,2023,ENERO,2023-01-10,11:35:39,2023.0,1,2023-01-10,9,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,AGENCIA DE DENUNCIA DIGITAL,CEN-A,GUERRERO,GUERRERO,CUAUHTEMOC,CUAUHTEMOC,19.4439047492589,-99.1462629995384,2023-01-10 09:50:00,1,Tuesday,1782
32870,2018,MAYO,2018-05-29,00:00:00,2018.0,5,2018-05-29,9,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN ALVARO OBREGON,AO-1,HIDALGO,HIDALGO,ALVARO OBREGON,ALVARO OBREGON,19.40053,-99.20907,2018-05-29 09:55:00,1,Tuesday,802
33832,2018,JUNIO,2018-06-17,00:00:00,2018.0,6,2018-06-16,21,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN BENITO JUAREZ,BJ-3,SANTA CRUZ ATOYAC,SANTA CRUZ ATOYAC,BENITO JUAREZ,BENITO JUAREZ,19.37229,-99.15838,2018-06-16 21:30:00,5,Saturday,826
52322,2019,JULIO,2019-07-04,00:00:00,2019.0,7,2019-07-03,16,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN MIGUEL HIDALGO,MH-1,TACUBA,POPOTLA,MIGUEL HIDALGO,MIGUEL HIDALGO,19.45586,-99.18438,2019-07-03 16:30:00,2,Wednesday,847
33786,2018,JUNIO,2018-06-16,00:00:00,2018.0,6,2018-06-16,12,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN CUAUHTEMOC,CUH-2,CENTRO,CENTRO,CUAUHTEMOC,CUAUHTEMOC,19.43061,-99.15076,2018-06-16 12:00:00,5,Saturday,1879
