anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,municipio_hecho,latitud,longitud,dia_semana,mes_codificado,alcaldia_codificada,hora_minutos,conteoDelitos
2021,Noviembre,2021-11-14,00:00:00,2021.0,Noviembre,2021-11-14,01:15:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-1,Unidad de Investigación 1 S/D,SANTA CRUZ ATOYAC,Santa Cruz Atoyac,BENITO JUAREZ,Benito Juárez,CDMX,19.37062,-99.15689,7.0,9,1,75.0,930.0
2022,Agosto,2022-08-13,07:52:08,2022.0,Agosto,2022-08-13,07:40:00,ROBO A TRANSEUNTE A BORDO DE TAXI PUBLICO Y PRIVADO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-1,Unidad de Investigación 1 S/D,TLACOQUEMECATL,Tlacoquemecatl,BENITO JUAREZ,Benito Juárez,CDMX,19.3749693127054,-99.1721195004661,6.0,1,1,460.0,879.0
2021,Agosto,2021-08-24,00:00:00,2021.0,Agosto,2021-08-23,09:20:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,AGENCIA DE DENUNCIA DIGITAL,CEN-1,Unidad de Investigación 1 S/D,VERTIZ NARVARTE,Vertiz Narvarte,BENITO JUAREZ,Benito Juárez,CDMX,19.38442,-99.15242,1.0,1,1,560.0,879.0
2021,Noviembre,2021-11-17,00:00:00,2021.0,Noviembre,2021-11-17,20:35:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN BENITO JUÁREZ,BJ-2,UI-2CD,PIEDAD NARVARTE,Piedad Narvarte,BENITO JUAREZ,Benito Juárez,CDMX,19.40374,-99.15245,3.0,9,1,1235.0,930.0
2024,Enero,2024-01-04,21:17:00,2024.0,Enero,2024-01-02,02:30:00,ROBO A TRANSEUNTE A BORDO DE TAXI PUBLICO Y PRIVADO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-C,UI-1SD,ÁLAMOS,Alamos,BENITO JUAREZ,Benito Juárez,CDMX,19.4000496011866,-99.1440212696192,2.0,3,1,150.0,869.0
2020,Noviembre,2020-11-03,00:00:00,2020.0,Septiembre,2020-09-11,12:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN BENITO JUÁREZ,BJ-1,UI-1SD,PORTALES SUR,Portales Norte,BENITO JUAREZ,Benito Juárez,CDMX,19.36938,-99.14432,5.0,11,1,720.0,781.0
2021,Octubre,2021-10-04,00:00:00,2021.0,Enero,2021-01-02,22:15:00,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN BENITO JUÁREZ,UAT-BJ-3,UI-1SD,NARVARTE,Narvarte Oriente,BENITO JUAREZ,Benito Juárez,CDMX,19.40168,-99.14993,6.0,3,1,1335.0,869.0
2023,Junio,2023-06-14,18:06:51,2023.0,Junio,2023-06-06,16:00:00,ROBO A TRANSEUNTE A BORDO DE TAXI PUBLICO Y PRIVADO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN BENITO JUÁREZ,UAT-BJ-3,UI-1SD,LETRÁN VALLE,Letran Valle,BENITO JUAREZ,Benito Juárez,CDMX,19.3754494822542,-99.1550690496256,2.0,6,1,960.0,829.0
2022,Enero,2022-01-04,00:00:00,2021.0,Enero,2021-01-04,17:40:00,ROBO A TRANSEUNTE EN RESTAURANT CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN BENITO JUÁREZ,UAT-BJ-3,UI-1SD,IZTACCIHUATL,Iztaccihuatl,BENITO JUAREZ,Benito Juárez,CDMX,19.39009,-99.136,1.0,3,1,1060.0,869.0
2022,Mayo,2022-05-23,00:00:00,2022.0,Mayo,2022-05-21,22:40:00,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN BENITO JUÁREZ,UAT-BJ-1,1 SIN DETENIDO,SANTA CRUZ ATOYAC,Santa Cruz Atoyac,BENITO JUAREZ,Benito Juárez,CDMX,19.37106,-99.16113,6.0,8,1,1360.0,861.0
