anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,municipio_hecho,latitud,longitud,dia_semana,mes_codificado,alcaldia_codificada,hora_minutos,conteoDelitos
2023,Enero,12/01/2023,22:46:15,2023,Enero,11/01/2023,09:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-3,UI-1SD,CENTRO,Centro,CUAUHTEMOC,Cuauhtémoc,CDMX,19.43564789,-99.14383167,3,3,2,540,1938
2021,Abril,22/04/2021,00:00:00,2021,Abril,19/04/2021,09:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,CUH-7,UI-3SD,HIPÓDROMO,Hipodromo,CUAUHTEMOC,Cuauhtémoc,CDMX,19.4052,-99.1705,1,0,2,570,1673
2024,Enero,12/01/2024,11:54:00,2024,Enero,12/01/2024,11:20:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,CUH-2,UI-2CD,DOCTORES,Doctores,CUAUHTEMOC,Cuauhtémoc,CDMX,19.40812362,-99.15110081,5,3,2,680,1938
2023,Febrero,24/02/2023,16:11:46,2023,Febrero,16/02/2023,18:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,UAT-CUH-1,UI-1SD,SANTA MARIA INSURGENTES,Santa Maria Insurgentes,CUAUHTEMOC,Cuauhtémoc,CDMX,19.46370818,-99.14698568,4,4,2,1110,1836
2023,Marzo,27/03/2023,22:38:57,2023,Marzo,26/03/2023,16:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,UAT-CUH-2,UI-1SD,CENTRO,Centro,CUAUHTEMOC,Cuauhtémoc,CDMX,19.43411938,-99.14088313,7,7,2,990,1889
2023,Mayo,22/05/2023,03:06:53,2023,Mayo,22/05/2023,02:10:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,CUH-2,UI-3CD,CENTRO,Centro,CUAUHTEMOC,Cuauhtémoc,CDMX,19.42594618,-99.13743854,1,8,2,130,1929
2022,Octubre,25/10/2022,23:36:10,2022,Octubre,25/10/2022,20:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,UAT-CUH-8,UI-1SD,OBRERA,Obrera,CUAUHTEMOC,Cuauhtémoc,CDMX,19.41405292,-99.1412678,2,10,2,1250,2321
2023,Enero,29/01/2023,11:42:50,2023,Enero,28/01/2023,16:40:00,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,UAT-CUH-2,UI-1SD,MORELOS,Morelos,CUAUHTEMOC,Cuauhtémoc,CDMX,19.44675775,-99.1279639,6,3,2,1000,1938
2022,Julio,16/07/2022,23:15:13,2022,Julio,15/07/2022,02:30:00,ROBO A TRANSEUNTE A BORDO DE TAXI PUBLICO Y PRIVADO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-1,Unidad de Investigación 1 S/D,JUÁREZ,Juarez,CUAUHTEMOC,Cuauhtémoc,CDMX,19.42671807,-99.16243403,5,5,2,150,1873
2023,Julio,06/07/2023,17:41:17,2023,Julio,06/07/2023,13:30:00,ROBO A TRANSEUNTE SALIENDO DEL BANCO CON VIOLENCIA,ROBO A CUENTAHABIENTE SALIENDO DEL CAJERO CON VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-3,UI-1SD,JORGE NEGRETE,Jorge Negrete,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.52920979,-99.14440978,4,5,3,810,1046
2020,Diciembre,01/12/2020,00:00:00,2020,Diciembre,01/12/2020,06:55:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-6,UI-2CD,MARTÍN CARRERA,Martin Carrera,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.48724,-99.10293,2,2,3,415,1097
2022,Septiembre,25/09/2022,22:09:28,2022,Septiembre,24/09/2022,22:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-2,UI-1SD,RESIDENCIAL ACUEDUCTO DE GUADALUPE,Acueducto De Guadalupe,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.53015099,-99.15479735,6,11,3,1320,1115
